epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,50.7968,1.23932,1.63395,1.10926,0.00893,0.5,0.25143,0.17576,1.80425,3.53228,1.54104,0.000260525,0.000260525,0.000260525
66,51.5138,0.99994,1.17903,0.93458,0.00889,0.5,0.2243,0.15659,1.7411,3.50221,1.47509,0.000257446,0.000257446,0.000257446
67,52.2188,0.91163,1.34449,0.91148,0.00889,0.5,0.2243,0.15659,1.7411,3.50221,1.47509,0.000254148,0.000254148,0.000254148
68,53.0985,0.91703,1.15797,0.84842,0.00889,0.5,0.2243,0.15659,1.7411,3.50221,1.47509,0.000250629,0.000250629,0.000250629
69,53.8338,0.90989,1.17154,0.8701,0.00779,0.4,0.26186,0.1833,1.71591,3.46063,1.44347,0.000246891,0.000246891,0.000246891
70,54.5582,0.95163,1.2231,0.90405,0.00779,0.4,0.26186,0.1833,1.71591,3.46063,1.44347,0.000242932,0.000242932,0.000242932
71,55.2549,1.05646,1.33444,0.97402,0.00779,0.4,0.26186,0.1833,1.71591,3.46063,1.44347,0.000238754,0.000238754,0.000238754
72,55.9896,0.89417,1.21326,0.86569,0.00932,0.5,0.32667,0.22895,1.73941,3.35038,1.46165,0.000234355,0.000234355,0.000234355
73,56.7117,0.93481,1.26793,0.94808,0.00932,0.5,0.32667,0.22895,1.73941,3.35038,1.46165,0.000229737,0.000229737,0.000229737
74,57.3611,0.92093,1.10636,0.89149,0.00932,0.5,0.32667,0.22895,1.73941,3.35038,1.46165,0.000224899,0.000224899,0.000224899
75,58.1244,1.09298,1.18594,0.90258,0.00963,0.5,0.44796,0.31351,1.78647,3.17165,1.4923,0.00021984,0.00021984,0.00021984
76,58.8163,0.9493,1.22713,0.94436,0.00963,0.5,0.44796,0.31351,1.78647,3.17165,1.4923,0.000214562,0.000214562,0.000214562
77,59.5286,1.02524,1.22669,0.98108,0.00963,0.5,0.44796,0.31351,1.78647,3.17165,1.4923,0.000209064,0.000209064,0.000209064
78,60.2782,0.8325,1.21333,0.88465,0.00985,0.5,0.44801,0.31354,1.87676,3.07785,1.58532,0.000203345,0.000203345,0.000203345
79,60.9815,1.07306,1.02931,0.905,0.00985,0.5,0.44801,0.31354,1.87676,3.07785,1.58532,0.000197407,0.000197407,0.000197407
80,61.6805,0.91366,1.081,0.88873,0.00985,0.5,0.44801,0.31354,1.87676,3.07785,1.58532,0.000191249,0.000191249,0.000191249
81,62.4151,1.07967,1.16764,0.87718,0.64266,0.3,0.49767,0.35822,1.93876,3.00756,1.62832,0.00018487,0.00018487,0.00018487
82,63.1772,0.84801,1.00358,0.89187,0.64266,0.3,0.49767,0.35822,1.93876,3.00756,1.62832,0.000178272,0.000178272,0.000178272
83,64.0227,1.01224,1.12013,0.949,0.64266,0.3,0.49767,0.35822,1.93876,3.00756,1.62832,0.000171454,0.000171454,0.000171454
84,64.7859,1.10403,1.32024,1.05889,0.68398,0.3,0.44817,0.31858,1.93548,2.91873,1.59721,0.000164416,0.000164416,0.000164416
85,65.4749,0.95121,0.9841,0.88363,0.68398,0.3,0.44817,0.31858,1.93548,2.91873,1.59721,0.000157158,0.000157158,0.000157158
86,66.1623,0.87229,1.07351,0.85784,0.68398,0.3,0.44817,0.31858,1.93548,2.91873,1.59721,0.000149679,0.000149679,0.000149679
87,66.8037,0.90363,1.03025,0.94461,0.68398,0.3,0.44817,0.31858,1.93548,2.91873,1.59721,0.000141981,0.000141981,0.000141981
88,67.6161,1.02119,1.0564,0.89095,0.74928,0.3,0.44839,0.32867,2.0521,2.88421,1.66973,0.000134063,0.000134063,0.000134063
89,68.2557,0.92617,1.27182,0.92019,0.74928,0.3,0.44839,0.32867,2.0521,2.88421,1.66973,0.000125925,0.000125925,0.000125925
90,68.9463,0.80751,1.04664,0.82506,0.74928,0.3,0.44839,0.32867,2.0521,2.88421,1.66973,0.000117567,0.000117567,0.000117567
91,76.4661,0.9792,1.03248,0.90628,0.74928,0.3,0.44839,0.32867,2.0521,2.88421,1.66973,0.000108989,0.000108989,0.000108989
92,77.3652,0.86912,1.04501,0.94264,0.79059,0.2,0.44858,0.32879,2.04554,2.79066,1.63604,0.000100191,0.000100191,0.000100191
93,78.1924,0.87335,1.16519,0.83097,0.79059,0.2,0.44858,0.32879,2.04554,2.79066,1.63604,9.11731e-05,9.11731e-05,9.11731e-05
94,78.8521,0.89283,1.04411,0.93013,0.79059,0.2,0.44858,0.32879,2.04554,2.79066,1.63604,8.19351e-05,8.19351e-05,8.19351e-05
95,79.5729,0.99591,1.05825,0.89573,0.79059,0.2,0.44858,0.32879,2.04554,2.79066,1.63604,7.24772e-05,7.24772e-05,7.24772e-05
96,80.4582,0.91341,1.10959,0.86237,0.78022,0.3,0.44868,0.32886,2.08404,2.70716,1.63524,6.27993e-05,6.27993e-05,6.27993e-05
97,81.1546,0.84348,1.11433,0.84137,0.78022,0.3,0.44868,0.32886,2.08404,2.70716,1.63524,5.29014e-05,5.29014e-05,5.29014e-05
98,81.8651,0.82558,1.04534,0.93172,0.78022,0.3,0.44868,0.32886,2.08404,2.70716,1.63524,4.27835e-05,4.27835e-05,4.27835e-05
99,82.5235,0.84235,1.00462,0.91723,0.78022,0.3,0.44868,0.32886,2.08404,2.70716,1.63524,3.24456e-05,3.24456e-05,3.24456e-05
100,83.2237,0.94052,1.17378,0.87008,0.71852,0.3,0.44873,0.3289,2.09411,2.61271,1.62948,2.18878e-05,2.18878e-05,2.18878e-05
